locationId,clinicName,Address,postalCode,medications,procedures
63,SUNBEAM MEDICAL CLINIC,443C Fajar Road #01-76,673443,Salbutamol; Ibuprofen; Lisinopril; Amoxicillin; Atorvastatin,Physiotherapy
64,Zion Medical Centre,Blk 502 Jurong West Ave 1 #01-815,640502,Amlodipine; Metformin; Salbutamol,ECG; X-Ray
65,CHANGI CLINIC,848 Sims Avenue #01-734 Eunosville,400848,Ibuprofen,Physiotherapy; Minor Surgery; Ultrasound; Endoscopy; ECG
66,Central 24-HR Clinic (Jurong),"492 Jurong West Street 41, #01-54",640492,Simvastatin; Amlodipine,X-Ray; Ultrasound; Physiotherapy; ECG; Endoscopy
67,Healthway Medical,446 Clementi Ave 3 #01-201,120446,Paracetamol; Omeprazole; Ibuprofen; Salbutamol,Blood Test; Minor Surgery
68,Acumed Medical Group,Blk 727 Ang Mo Kio Ave 6,560727,Simvastatin; Metformin; Salbutamol,Health Screening; Minor Surgery; Blood Test; Vaccination
69,FRONTIER PEOPLE'S CLINIC PTE LTD,Blk 123 Bedok North Street 2 #01-152,460123,Simvastatin; Ibuprofen; Salbutamol; Amlodipine,ECG; X-Ray; Physiotherapy; Vaccination; Endoscopy
70,Everhealth Clinic & Surgery,201D Tampines Street 21 #01-1171,524201,Ibuprofen; Simvastatin; Amlodipine; Atorvastatin; Metformin,Minor Surgery; Endoscopy
71,Central 24-HR Clinic (Hougang),"681 Hougang Ave 8, #01-829",530681,Amoxicillin; Lisinopril; Simvastatin; Salbutamol,Blood Test; Health Screening; Wound Dressing; ECG
72,Silver Cross Family Clinic,2 Lorong Lew Lian #01-50,531002,Amlodipine; Paracetamol; Ibuprofen; Lisinopril,Ultrasound; X-Ray
73,TANG FAMILY CLINIC,84 Jalan Jurong Kechil,598593,Salbutamol; Atorvastatin; Lisinopril,ECG; Health Screening; X-Ray; Endoscopy
74,Central 24-HR Clinic (Jurong),"492 Jurong West Street 41, #01-54",640492,Paracetamol; Omeprazole,Wound Dressing; Blood Test; Physiotherapy; ECG; Endoscopy
75,Central 24-HR Clinic (Clementi),450 Clementi Ave 3 #01-291,120450,Ibuprofen,Ultrasound; Physiotherapy
76,FRONTIER PEOPLE'S CLINIC PTE LTD,Blk 123 Bedok North Street 2 #01-152,460123,Lisinopril; Amlodipine; Atorvastatin; Salbutamol,Endoscopy
77,Central 24-HR Clinic (Bedok),"219 Bedok Central, #01-124",460219,Simvastatin,Physiotherapy; Endoscopy; Wound Dressing
78,Healthway Medical,446 Clementi Ave 3 #01-201,120446,Paracetamol; Amoxicillin,Minor Surgery; Blood Test; Physiotherapy; ECG
79,Trucare Medical,Blk 682 Hougang Ave 4 #01-320,530682,Atorvastatin; Ibuprofen,Health Screening; X-Ray; Ultrasound; Blood Test
80,Central 24-HR Clinic (Bedok),"219 Bedok Central, #01-124",460219,Paracetamol; Metformin; Amlodipine,ECG; Minor Surgery; Physiotherapy; Vaccination; Ultrasound
81,OneCare Clinic Yishun,846 Yishun Ring Rd #01-3669,760846,Amoxicillin; Omeprazole; Ibuprofen,Endoscopy
82,SUNBEAM MEDICAL CLINIC,443C Fajar Road #01-76,673443,Paracetamol,ECG; Wound Dressing; Ultrasound
83,Everhealth Clinic & Surgery,201D Tampines Street 21 #01-1171,524201,Salbutamol,ECG; Ultrasound
84,Trucare Medical,Blk 682 Hougang Ave 4 #01-320,530682,Amoxicillin; Simvastatin,X-Ray; Endoscopy
85,East Coast Family Clinic,121 Bedok Reservoir Rd #01-202,470121,Lisinopril; Paracetamol; Omeprazole; Amlodipine,Endoscopy; Physiotherapy; Wound Dressing
86,The Clinic Group,1 Raffles Quay #09-02,048583,Salbutamol; Amlodipine; Ibuprofen; Metformin; Omeprazole,Wound Dressing; X-Ray; Physiotherapy; Blood Test; Endoscopy
87,Central 24-HR Clinic (Jurong),"492 Jurong West Street 41, #01-54",640492,Metformin; Salbutamol; Simvastatin; Paracetamol; Amoxicillin,Endoscopy; Wound Dressing
88,SUNBEAM MEDICAL CLINIC,443C Fajar Road #01-76,673443,Atorvastatin; Paracetamol; Amlodipine,Health Screening; Wound Dressing
89,FRONTIER PEOPLE'S CLINIC PTE LTD,Blk 123 Bedok North Street 2 #01-152,460123,Metformin,Endoscopy; Wound Dressing
90,Central 24-HR Clinic (Clementi),450 Clementi Ave 3 #01-291,120450,Metformin; Amlodipine,X-Ray; Minor Surgery; Ultrasound; Physiotherapy; ECG
91,Central 24-HR Clinic (Clementi),450 Clementi Ave 3 #01-291,120450,Atorvastatin; Salbutamol; Amlodipine; Metformin,ECG; X-Ray; Blood Test; Endoscopy
92,Central 24-HR Clinic (Yishun),"701A Yishun Ave 5, #01-04",761701,Salbutamol; Ibuprofen,Health Screening; X-Ray
93,SUNBEAM MEDICAL CLINIC,443C Fajar Road #01-76,673443,Metformin; Amoxicillin,X-Ray; Blood Test; Ultrasound; Endoscopy
94,Healthway Medical,446 Clementi Ave 3 #01-201,120446,Paracetamol; Omeprazole; Amoxicillin; Atorvastatin; Amlodipine,Physiotherapy
95,East Coast Family Clinic,121 Bedok Reservoir Rd #01-202,470121,Metformin,X-Ray
96,FRONTIER PEOPLE'S CLINIC PTE LTD,Blk 123 Bedok North Street 2 #01-152,460123,Lisinopril; Paracetamol; Simvastatin; Metformin; Salbutamol,Health Screening; Ultrasound
97,TANG FAMILY CLINIC,84 Jalan Jurong Kechil,598593,Salbutamol; Amoxicillin; Amlodipine; Lisinopril,Ultrasound; Minor Surgery; ECG
98,Central 24-HR Clinic (Hougang),"681 Hougang Ave 8, #01-829",530681,Lisinopril; Metformin; Simvastatin; Ibuprofen,X-Ray; Endoscopy; Vaccination; Blood Test
99,TANG FAMILY CLINIC,84 Jalan Jurong Kechil,598593,Ibuprofen; Simvastatin; Lisinopril; Amlodipine; Amoxicillin,X-Ray; Endoscopy
100,East Coast Family Clinic,121 Bedok Reservoir Rd #01-202,470121,Salbutamol; Omeprazole,Endoscopy; Blood Test; Health Screening; Vaccination; Physiotherapy
101,TANG FAMILY CLINIC,84 Jalan Jurong Kechil,598593,Amoxicillin; Paracetamol; Metformin,Blood Test
102,TANG FAMILY CLINIC,84 Jalan Jurong Kechil,598593,Lisinopril; Omeprazole; Paracetamol; Atorvastatin; Ibuprofen,Endoscopy; Vaccination; X-Ray
103,CHANGI CLINIC,848 Sims Avenue #01-734 Eunosville,400848,Lisinopril; Paracetamol; Metformin; Omeprazole; Simvastatin,Vaccination; Health Screening; ECG; Endoscopy
104,Central 24-HR Clinic (Bedok),"219 Bedok Central, #01-124",460219,Metformin; Ibuprofen; Omeprazole; Amoxicillin; Atorvastatin,Ultrasound; Vaccination; ECG
105,Everhealth Clinic & Surgery,201D Tampines Street 21 #01-1171,524201,Metformin,Physiotherapy; X-Ray; Minor Surgery
106,Everhealth Clinic & Surgery,201D Tampines Street 21 #01-1171,524201,Ibuprofen,ECG; Endoscopy; Wound Dressing; Health Screening; Vaccination
107,Central 24-HR Clinic (Hougang),"681 Hougang Ave 8, #01-829",530681,Paracetamol,X-Ray; Endoscopy
108,Acumed Medical Group,Blk 727 Ang Mo Kio Ave 6,560727,Salbutamol; Amlodipine,Physiotherapy
109,SUNBEAM MEDICAL CLINIC,443C Fajar Road #01-76,673443,Metformin,Vaccination; Endoscopy
110,OneCare Clinic Yishun,846 Yishun Ring Rd #01-3669,760846,Ibuprofen; Amlodipine; Paracetamol,X-Ray; Physiotherapy; Vaccination; Minor Surgery
111,Trucare Medical,Blk 682 Hougang Ave 4 #01-320,530682,Simvastatin; Salbutamol; Omeprazole,X-Ray; Ultrasound
112,CHANGI CLINIC,848 Sims Avenue #01-734 Eunosville,400848,Omeprazole; Ibuprofen; Amoxicillin; Amlodipine; Simvastatin,Ultrasound; Blood Test; Endoscopy
113,OneCare Clinic Yishun,846 Yishun Ring Rd #01-3669,760846,Ibuprofen; Amlodipine; Salbutamol; Amoxicillin; Paracetamol,X-Ray
114,Central 24-HR Clinic (Clementi),450 Clementi Ave 3 #01-291,120450,Omeprazole; Paracetamol,Minor Surgery; Vaccination; ECG; X-Ray
115,Central 24-HR Clinic (Jurong),"492 Jurong West Street 41, #01-54",640492,Amlodipine,Blood Test; X-Ray; Vaccination; Health Screening
116,East Coast Family Clinic,121 Bedok Reservoir Rd #01-202,470121,Ibuprofen; Paracetamol; Metformin,Ultrasound; ECG; Physiotherapy; X-Ray; Endoscopy
117,TANG FAMILY CLINIC,84 Jalan Jurong Kechil,598593,Metformin; Lisinopril,Ultrasound; Vaccination; Physiotherapy; Endoscopy; Wound Dressing
118,CHANGI CLINIC,848 Sims Avenue #01-734 Eunosville,400848,Omeprazole; Metformin; Amlodipine; Ibuprofen; Lisinopril,Blood Test; ECG
119,Silver Cross Family Clinic,2 Lorong Lew Lian #01-50,531002,Metformin; Ibuprofen; Simvastatin; Amlodipine; Omeprazole,Endoscopy; Blood Test
120,CHANGI CLINIC,848 Sims Avenue #01-734 Eunosville,400848,Simvastatin; Lisinopril,X-Ray; Endoscopy; Minor Surgery; ECG; Ultrasound
121,FRONTIER PEOPLE'S CLINIC PTE LTD,Blk 123 Bedok North Street 2 #01-152,460123,Amoxicillin; Salbutamol; Lisinopril; Metformin,Endoscopy; Blood Test; Minor Surgery; Health Screening
122,The Clinic Group,1 Raffles Quay #09-02,048583,Simvastatin; Lisinopril; Atorvastatin,Vaccination; Minor Surgery; Physiotherapy; Endoscopy
123,Central 24-HR Clinic (Bedok),"219 Bedok Central, #01-124",460219,Simvastatin; Paracetamol,Wound Dressing; Vaccination
124,Everhealth Clinic & Surgery,201D Tampines Street 21 #01-1171,524201,Amoxicillin; Amlodipine; Atorvastatin,Health Screening; Blood Test; Endoscopy
125,Central 24-HR Clinic (Clementi),450 Clementi Ave 3 #01-291,120450,Salbutamol; Ibuprofen; Omeprazole; Amoxicillin,Wound Dressing
126,Central 24-HR Clinic (Clementi),450 Clementi Ave 3 #01-291,120450,Simvastatin; Atorvastatin; Salbutamol; Amoxicillin,Ultrasound; Minor Surgery; Physiotherapy
127,Silver Cross Family Clinic,2 Lorong Lew Lian #01-50,531002,Paracetamol,X-Ray; Endoscopy; Minor Surgery; ECG; Physiotherapy
128,TANG FAMILY CLINIC,84 Jalan Jurong Kechil,598593,Simvastatin,Vaccination
129,Central 24-HR Clinic (Clementi),450 Clementi Ave 3 #01-291,120450,Omeprazole; Ibuprofen; Metformin; Amoxicillin,Health Screening; Ultrasound; Vaccination; ECG
130,Central 24-HR Clinic (Yishun),"701A Yishun Ave 5, #01-04",761701,Amlodipine; Omeprazole,X-Ray; Vaccination; ECG; Ultrasound
131,Acumed Medical Group,Blk 727 Ang Mo Kio Ave 6,560727,Simvastatin; Ibuprofen,X-Ray; ECG; Wound Dressing; Blood Test; Minor Surgery
132,The Clinic Group,1 Raffles Quay #09-02,048583,Metformin; Amoxicillin; Ibuprofen; Amlodipine; Paracetamol,Wound Dressing
133,Bukit Batok Medical Clinic,632 Bukit Batok Central,650632,Atorvastatin; Ibuprofen; Paracetamol,Health Screening; Blood Test; Endoscopy
134,Silver Cross Family Clinic,2 Lorong Lew Lian #01-50,531002,Paracetamol; Metformin; Atorvastatin,Blood Test; Endoscopy
135,CHANG CLINIC & SURGERY,7 Everton Park #01-21,080007,Simvastatin; Metformin; Salbutamol,Blood Test; ECG; X-Ray
136,Central 24-HR Clinic (Hougang),"681 Hougang Ave 8, #01-829",530681,Salbutamol,Wound Dressing; Blood Test; Minor Surgery
137,Central 24-HR Clinic (Bedok),"219 Bedok Central, #01-124",460219,Amlodipine,Vaccination; Minor Surgery; ECG; Physiotherapy
138,TANG FAMILY CLINIC,84 Jalan Jurong Kechil,598593,Amlodipine; Simvastatin; Ibuprofen,Blood Test; Wound Dressing; X-Ray; Physiotherapy; Vaccination
139,Trucare Medical,Blk 682 Hougang Ave 4 #01-320,530682,Omeprazole; Paracetamol,ECG; Ultrasound; Blood Test; Wound Dressing
140,Bukit Batok Medical Clinic,632 Bukit Batok Central,650632,Salbutamol; Paracetamol,Minor Surgery; Ultrasound; Endoscopy; Wound Dressing
141,Central 24-HR Clinic (Clementi),450 Clementi Ave 3 #01-291,120450,Lisinopril; Metformin; Amlodipine; Salbutamol,Physiotherapy; Health Screening; Minor Surgery; Ultrasound
142,SUNBEAM MEDICAL CLINIC,443C Fajar Road #01-76,673443,Amlodipine; Atorvastatin; Lisinopril; Amoxicillin; Salbutamol,Minor Surgery; Ultrasound
143,Acumed Medical Group,Blk 727 Ang Mo Kio Ave 6,560727,Salbutamol; Metformin; Amlodipine,Blood Test; Minor Surgery; X-Ray; Vaccination; ECG
144,Central 24-HR Clinic (Jurong),"492 Jurong West Street 41, #01-54",640492,Salbutamol; Metformin; Atorvastatin; Lisinopril,Ultrasound; Blood Test; Endoscopy; ECG; Minor Surgery
145,CHANG CLINIC & SURGERY,7 Everton Park #01-21,080007,Amlodipine; Simvastatin; Omeprazole; Amoxicillin; Paracetamol,Health Screening
146,Zion Medical Centre,Blk 502 Jurong West Ave 1 #01-815,640502,Ibuprofen; Atorvastatin; Paracetamol; Amlodipine,Health Screening; ECG; Blood Test; X-Ray; Wound Dressing
147,FRONTIER PEOPLE'S CLINIC PTE LTD,Blk 123 Bedok North Street 2 #01-152,460123,Simvastatin; Atorvastatin; Lisinopril; Omeprazole,X-Ray; ECG; Physiotherapy; Wound Dressing; Ultrasound
148,Central 24-HR Clinic (Hougang),"681 Hougang Ave 8, #01-829",530681,Salbutamol; Simvastatin; Amlodipine; Metformin,Vaccination; ECG; Wound Dressing
149,Central 24-HR Clinic (Jurong),"492 Jurong West Street 41, #01-54",640492,Paracetamol; Omeprazole; Ibuprofen; Amlodipine,Endoscopy; Health Screening; Wound Dressing; Vaccination; Physiotherapy
150,Central 24-HR Clinic (Hougang),"681 Hougang Ave 8, #01-829",530681,Lisinopril; Atorvastatin; Amoxicillin,Health Screening
151,Central 24-HR Clinic (Bedok),"219 Bedok Central, #01-124",460219,Ibuprofen,Wound Dressing; Ultrasound; ECG; Health Screening; Physiotherapy
152,Trucare Medical,Blk 682 Hougang Ave 4 #01-320,530682,Amlodipine; Omeprazole; Lisinopril; Ibuprofen,Ultrasound; ECG; Wound Dressing; Vaccination; Blood Test
153,CHANGI CLINIC,848 Sims Avenue #01-734 Eunosville,400848,Atorvastatin,X-Ray; Vaccination; Endoscopy; Health Screening; Blood Test
154,Central 24-HR Clinic (Bedok),"219 Bedok Central, #01-124",460219,Paracetamol; Atorvastatin,Minor Surgery; Physiotherapy; Ultrasound
155,The Clinic Group,1 Raffles Quay #09-02,048583,Lisinopril,Wound Dressing; Minor Surgery; X-Ray; Blood Test; Ultrasound
156,SUNBEAM MEDICAL CLINIC,443C Fajar Road #01-76,673443,Amoxicillin; Lisinopril,Physiotherapy; Wound Dressing; Blood Test; Minor Surgery
157,CHANGI CLINIC,848 Sims Avenue #01-734 Eunosville,400848,Omeprazole; Amoxicillin,Vaccination
158,SUNBEAM MEDICAL CLINIC,443C Fajar Road #01-76,673443,Salbutamol,Endoscopy; Minor Surgery; Health Screening; Blood Test; Wound Dressing
159,Zion Medical Centre,Blk 502 Jurong West Ave 1 #01-815,640502,Omeprazole; Amoxicillin; Metformin; Salbutamol; Simvastatin,X-Ray
160,Healthway Medical,446 Clementi Ave 3 #01-201,120446,Amoxicillin; Salbutamol; Ibuprofen; Paracetamol; Omeprazole,Physiotherapy; Endoscopy; Wound Dressing; X-Ray
161,CHANG CLINIC & SURGERY,7 Everton Park #01-21,080007,Ibuprofen; Omeprazole; Amlodipine; Metformin; Lisinopril,Vaccination; X-Ray; ECG; Ultrasound
162,CHANGI CLINIC,848 Sims Avenue #01-734 Eunosville,400848,Ibuprofen,Wound Dressing; Blood Test; Health Screening
163,Central 24-HR Clinic (Bedok),"219 Bedok Central, #01-124",460219,Paracetamol,Endoscopy; Minor Surgery; Wound Dressing
164,Acumed Medical Group,Blk 727 Ang Mo Kio Ave 6,560727,Ibuprofen; Atorvastatin,Wound Dressing; Vaccination; Physiotherapy; Minor Surgery
165,Central 24-HR Clinic (Bedok),"219 Bedok Central, #01-124",460219,Amoxicillin; Ibuprofen; Salbutamol; Simvastatin; Metformin,Health Screening
166,Central 24-HR Clinic (Bedok),"219 Bedok Central, #01-124",460219,Salbutamol; Simvastatin; Amoxicillin; Atorvastatin,Physiotherapy; Endoscopy; ECG; Minor Surgery; Ultrasound
167,Central 24-HR Clinic (Clementi),450 Clementi Ave 3 #01-291,120450,Metformin; Simvastatin; Atorvastatin,Ultrasound; Wound Dressing; Blood Test; Physiotherapy; Endoscopy
168,Bukit Batok Medical Clinic,632 Bukit Batok Central,650632,Amoxicillin; Salbutamol; Metformin; Atorvastatin; Lisinopril,Wound Dressing; Vaccination; X-Ray; ECG; Blood Test
169,CHANGI CLINIC,848 Sims Avenue #01-734 Eunosville,400848,Ibuprofen; Simvastatin; Amoxicillin; Atorvastatin; Omeprazole,Wound Dressing; Physiotherapy; Blood Test
170,Zion Medical Centre,Blk 502 Jurong West Ave 1 #01-815,640502,Lisinopril; Atorvastatin,Ultrasound; ECG; Minor Surgery; X-Ray
171,FRONTIER PEOPLE'S CLINIC PTE LTD,Blk 123 Bedok North Street 2 #01-152,460123,Lisinopril; Ibuprofen; Atorvastatin,Minor Surgery; Health Screening; Blood Test
172,TANG FAMILY CLINIC,84 Jalan Jurong Kechil,598593,Amoxicillin,ECG; Wound Dressing; Minor Surgery; Ultrasound; Endoscopy
173,CHANGI CLINIC,848 Sims Avenue #01-734 Eunosville,400848,Simvastatin; Atorvastatin; Amoxicillin; Amlodipine,Minor Surgery; Vaccination; Endoscopy
174,Healthway Medical,446 Clementi Ave 3 #01-201,120446,Amlodipine; Salbutamol; Amoxicillin,Minor Surgery; ECG
175,Everhealth Clinic & Surgery,201D Tampines Street 21 #01-1171,524201,Lisinopril; Simvastatin; Metformin,Wound Dressing; ECG
176,Healthway Medical,446 Clementi Ave 3 #01-201,120446,Lisinopril; Paracetamol,ECG; Wound Dressing; Endoscopy; X-Ray; Ultrasound
177,OneCare Clinic Yishun,846 Yishun Ring Rd #01-3669,760846,Amlodipine; Metformin; Simvastatin; Ibuprofen,Wound Dressing
